"gvkey","tic","conm","PC1","PC2","PC3","prccq","growth","big_growth"
1004,"AIR","AAR CORP",1.40976384424608,0.21245438902422,-0.18735808841058,43.69,0.0507455507455507,"NO"
1045,"AAL","AMERICAN AIRLINES GROUP INC",-2.80931390251691,0.224636307724823,1.43661205805057,32.11,-0.38285604458966,"NO"
1050,"CECE","CECO ENVIRONMENTAL CORP",1.52472158390997,0.439643381174151,-0.167856079798171,6.75,0.315789473684211,"YES"
1062,"ASA","ASA GOLD AND PRECIOUS METALS",1.57366870103865,0.638440296787051,0.0122754105904392,8.66,-0.216473951830339,"NO"
1072,"AVX","AVX CORP",1.28126456764774,0.452912935871598,0.0929383212292198,15.25,-0.11849710982659,"NO"
1075,"PNW","PINNACLE WEST CAPITAL CORP",0.369762229321359,-0.486061307275207,-0.0128363890220984,85.2,0.000234796900680864,"NO"
1076,"AAN","AARON'S INC",0.886527959674195,-0.35988353812126,-0.39641553844028,42.05,0.0552070263488079,"NO"
1078,"ABT","ABBOTT LABORATORIES",-5.09928301784928,0.92779744991913,2.77076904727821,72.33,0.26739092342737,"NO"
1094,"ACETQ","ACETO CORP",1.56920169813279,0.305156149417601,-0.156641897517939,0.84,-0.918683446272991,"NO"
1097,"ACMTA","ACMAT CORP  -CL A",1.57243579548488,0.20820462385026,-0.0174943996324515,29,0.444942700548082,"YES"
1104,"ACU","ACME UNITED CORP",1.53262333464558,0.178075231695899,-0.189843834685332,14.25,-0.391025641025641,"NO"
1117,"BKTI","BK TECHNOLOGIES CORP",1.56057708477988,0.479411091733628,-0.067794918747241,3.75,0.0563380281690141,"NO"
1121,"AE","ADAMS RESOURCES & ENERGY INC",1.46608162776879,0.0949838294512564,-0.199089045152078,38.71,-0.110114942528736,"NO"
1161,"AMD","ADVANCED MICRO DEVICES",-1.22956649925275,0.864746654122752,1.30335726474471,18.46,0.795719844357977,"YES"
1166,"ASMIY","ASM INTERNATIONAL NV",0.275279128081368,-1.19952474531972,-0.484839668838668,41.382,0.0889999999999999,"NO"
1186,"AEM","AGNICO EAGLE MINES LTD",0.489584737338093,0.259731343159549,-0.090599490848498,40.4,-0.125162407968818,"NO"
1209,"APD","AIR PRODUCTS & CHEMICALS INC",-0.00819036993190213,-0.938497966400935,-0.149955696498315,160.05,-0.0245611896635787,"NO"
1210,"AIRT","AIR T INC",1.55388752676809,0.151761923207312,-0.284698422071591,24.5,-0.00778383457124111,"NO"
1230,"ALK","ALASKA AIR GROUP INC",-0.286813247821334,-0.969642342013301,-0.799974865400929,60.85,-0.172221466467147,"NO"
1234,"ATRI","ATRION CORP",1.06255560245697,-5.15409156690724,0.198206536202604,741.08,0.175198223913733,"NO"
1254,"MATX","MATSON INC",1.00081120288556,-0.532094117356946,-0.475979324504465,32.02,0.0730563002680966,"NO"
1257,"ALX","ALEXANDER'S INC",0.857518752190044,-4.68090234399561,0.355484250213299,304.74,-0.230162940507768,"NO"
1266,"ALCO","ALICO INC",1.58418457478279,0.209522283419065,-0.344169890173301,29.5,0,"NO"
1274,"Y","ALLEGHANY CORP",-0.031855894199825,-3.70759921885752,0.216483164918084,623.32,0.0456810213222836,"NO"
1300,"HON","HONEYWELL INTERNATIONAL INC",-4.15931894060787,0.0667830821384714,4.87324518014746,132.12,-0.13849765258216,"NO"
1327,"SWKS","SKYWORKS SOLUTIONS INC",0.717674240653971,-0.490313107080547,0.0698899215272793,67.02,-0.294154818325434,"NO"
1380,"HES","HESS CORP",5.23431086951809,2.78712056463535,5.37242568527272,40.5,-0.146829576574679,"NO"
1393,"UHAL","AMERCO",-0.530378766155318,-8.15403021106627,-0.904687814873545,328.11,-0.131777407319203,"NO"
1397,"ABLT","AMERICAN BILTRITE INC",-2.47329234311465,-43.899601749204,1.72095609062972,510,0,"NO"
1410,"ABM","ABM INDUSTRIES INC",1.08429104159712,0.123786686883669,-0.0543452292612217,30.75,-0.267333809864189,"NO"
1414,"PRI","PRIMERICA INC",0.752272331479397,-1.14024153302756,-0.189393700463895,97.71,-0.0378138847858198,"NO"
1439,"ECOL","US ECOLOGY INC",1.41834793284633,-0.234606523205254,-0.168814257307465,62.98,0.234901960784314,"NO"
1440,"AEP","AMERICAN ELECTRIC POWER CO",-3.32034921136233,-0.151982318004712,-0.464660884870461,74.74,0.0159032214217752,"NO"
1447,"AXP","AMERICAN EXPRESS CO",-8.11137621558599,0.560144526183836,6.03774913325026,95.32,-0.0401772228375794,"NO"
1449,"AFL","AFLAC INC",-8.29634830642275,-1.81544728505143,-4.95573137631705,45.56,-0.480975165185692,"NO"
1487,"AIG","AMERICAN INTERNATIONAL GROUP",-1.50216095474747,2.53281437589799,20.1531971366359,39.41,-0.338536421617993,"NO"
1526,"ANAT","AMERICAN NATIONAL INSURANCE",-0.0620366380239327,-3.53546026613919,-0.31309148806734,127.24,-0.00787524366471739,"NO"
1545,"ARL","AMERICAN REALTY INVESTORS",1.56226849247208,0.507296576638254,0.102817151832856,12.07,-0.0607003891050583,"NO"
1562,"AMSWA","AMERICAN SOFTWARE  -CL A",1.57685237407988,0.31361960727641,-0.102191148203129,11.51,-0.072522159548751,"NO"
1585,"AVD","AMERICAN VANGUARD CORP",1.45385866666241,0.279966375183549,-0.23393062596848,15.19,-0.226972010178117,"NO"
1598,"AME","AMETEK INC",-0.0729657768863703,-0.158329794550899,-0.613278866955707,67.7,-0.0658203394508072,"NO"
1602,"AMGN","AMGEN INC",-3.03367073289964,-0.207830827926418,8.48093916847671,194.67,0.11943645773433,"NO"
1613,"AP","AMPCO-PITTSBURGH CORP",1.54591085902524,0.603225223718473,-0.224096129071564,3.1,-0.75,"NO"
1618,"AXR","AMREP CORP",1.58107416983336,0.437956317668335,-0.286821985759883,6.66,-0.0719839478304489,"NO"
1632,"ADI","ANALOG DEVICES",-1.13291091390547,-0.235668983186778,-0.249790053751493,83.71,-0.083132530120482,"NO"
1659,"ANDE","ANDERSONS INC",1.25246945743049,-0.103932173862645,-0.216694707039164,29.89,-0.0404494382022471,"NO"
1661,"NBR","NABORS INDUSTRIES LTD",1.02117380933779,0.835464476995974,0.547592269286263,2,-0.707174231332357,"NO"
1678,"APA","APACHE CORP",-1.31807303661665,-0.251084910978041,-1.35145175395452,26.25,-0.378256750355282,"NO"
1686,"APOG","APOGEE ENTERPRISES INC",1.35843014537727,-0.178756765146418,-0.337158474870256,36.45,-0.27143713771737,"NO"
1690,"AAPL","APPLE INC",-57.6167866393539,1.73333045318125,-26.7570408561186,157.74,-0.0678957631625597,"NO"
1704,"AMAT","APPLIED MATERIALS INC",-5.61376228203347,0.234691245636097,-1.9648096673541,32.88,-0.417331206804891,"NO"
1706,"EPAC","ACTUANT CORP  -CL A",1.42267259831746,0.365899718053121,-0.239372722638278,25.6,-0.0303030303030302,"NO"
1712,"TREC","TRECORA RESOURCES",1.47942658747109,0.296412539975515,-0.243591789066259,7.8,-0.422222222222222,"NO"
1722,"ADM","ARCHER-DANIELS-MIDLAND CO",-5.05521438905332,0.236679547366948,-1.83442223582456,40.97,0.0222055888223553,"NO"
1743,"ARCB","ARCBEST CORP",1.30695767079736,-0.0773948073293209,-0.228366156090797,34.26,-0.0416783216783217,"NO"
1773,"ARW","ARROW ELECTRONICS INC",-0.712392384268578,-0.569573512687541,-0.0164994767771375,68.95,-0.14251958711603,"NO"
1794,"ASH","ASHLAND GLOBAL HOLDINGS INC",1.28731485984939,0.301730356141432,-0.234278767853573,70.96,-0.00337078651685406,"NO"
1820,"ALOT","ASTRONOVA INC",1.57819421806764,0.308316706022516,-0.226905366668111,19.32,0.533333333333333,"YES"
1823,"ATRO","ASTRONICS CORP",1.468658714517,0.216100270479842,-0.165267480813948,30.45,-0.265734265734266,"NO"
1864,"REX","REX AMERICAN RESOURCES CORP",1.43856173171901,-0.638082507111933,-0.38196216735,74.17,-0.158879564527104,"NO"
1878,"ADSK","AUTODESK INC",1.57577419278663,0.449807461113656,0.425761930256911,129.25,0.034330985915493,"NO"
1891,"ADP","AUTOMATIC DATA PROCESSING",-1.80534745076767,-0.468219998865616,-0.080719863841427,131.12,0.11886679750832,"NO"
1913,"AVY","AVERY DENNISON CORP",0.646690210569,-0.493232722111525,-0.0680440884612617,89.83,-0.217917464739683,"NO"
1919,"AVT","AVNET INC",0.496552384930601,-0.0112070247657821,-0.148088132246986,36.1,-0.08884401817264,"NO"
1926,"AZZ","AZZ INC",1.44125665522201,0.133667423337079,-0.303472712483541,47.74,-0.00748440748440747,"NO"
1932,"BTI","BRITISH AMER TOBACCO PLC",-82.2220577988594,-1.90467742537133,-95.6317689634944,31.86,-0.524406627854904,"NO"
1949,"BRT","BRT APARTMENTS CORP",1.53129080661381,0.218699980208323,0.0429146814445933,11.44,-0.0296861747243426,"NO"
1968,"BMI","BADGER METER INC",1.42327019049277,0.0812133918078207,-0.0559971674364614,49.21,0.0294979079497909,"NO"
1979,"BCPC","BALCHEM CORP  -CL B",1.30402864867472,-0.512804664009763,-0.272155469232492,78.35,-0.0279156327543424,"NO"
1982,"PTVCB","PROTECTIVE INSURANCE CORP",1.44931661115941,0.00420910389485086,-0.0259298468769322,16.65,-0.304801670146138,"NO"
1988,"BLL","BALL CORP",-0.775145447507949,0.264130988655224,-0.257974337310299,45.98,0.214795244385733,"NO"
2002,"BPOP","POPULAR INC",0.266681601370412,0.202666074073247,1.31998882423115,47.22,0.330515638207946,"YES"
2005,"BOH","BANK OF HAWAII CORP",0.918203461353449,-0.663619830435245,0.171403031155789,67.32,-0.214469078179697,"NO"
2019,"BK","BANK OF NEW YORK MELLON CORP",-13.7496318393434,1.13140830526891,5.38353340332498,47.07,-0.126067582621612,"NO"
2049,"B","BARNES GROUP INC",1.25021348494346,0.0221093851169791,-0.0378985539421734,53.62,-0.152520941994626,"NO"
2055,"GOLD","BARRICK GOLD CORP",-2.22097618923408,0.764427042457262,0.962858523993619,13.54,-0.0642709053213546,"NO"
2080,"BSET","BASSETT FURNITURE INDS",1.49071981840722,-0.0126812027201411,-0.196710816898151,21.03,-0.45234375,"NO"
2086,"BAX","BAXTER INTERNATIONAL INC",-1.17332310575079,0.222790691394085,0.360099785680791,65.82,0.0182549504950494,"NO"
2101,"AIT","APPLIED INDUSTRIAL TECH INC",1.30891995537639,-0.278025424077403,-0.280691867821011,53.94,-0.207929515418502,"NO"
2111,"BDX","BECTON DICKINSON & CO",-1.43168265222404,-0.457968684629449,0.915187394672759,225.32,0.052602074184808,"NO"
2124,"BELFB","BEL FUSE INC",1.58652801819627,0.508444981083408,-0.0367960292563456,18.42,-0.26832174776564,"NO"
2136,"VZ","VERIZON COMMUNICATIONS INC",-50.5397960489203,1.30879803392794,-40.0830420751218,56.22,0.0621575665973928,"NO"
2176,"BRK.B","BERKSHIRE HATHAWAY",-90.5857781758743,0.436652457750616,-73.560173445126,204.18,0.0300676016547271,"NO"
2184,"BBY","BEST BUY CO INC",-1.14545754715368,-0.0971087233893822,-0.632890234325589,70.16,0.253304751697035,"NO"
2220,"BIO","BIO-RAD LABORATORIES INC",0.972046371142664,-1.08419110928023,-0.24497365237696,232.22,-0.0270247622239912,"NO"
2259,"BKH","BLACK HILLS CORP",0.984519112316195,-0.406057737104684,-0.071960402116921,62.78,0.0444185659624023,"NO"
2269,"HRB","BLOCK H & R INC",1.58866665647658,0.408372750818551,0.252501918294006,26.54,0.0727566693613582,"NO"
